datasetId;startTime;endTime;value
247;2025-04-30T21:15:00.000Z;2025-04-30T21:30:00.000Z;0
247;2025-04-30T21:00:00.000Z;2025-04-30T21:15:00.000Z;0
247;2025-04-30T20:45:00.000Z;2025-04-30T21:00:00.000Z;0
247;2025-04-30T20:30:00.000Z;2025-04-30T20:45:00.000Z;0
247;2025-04-30T20:15:00.000Z;2025-04-30T20:30:00.000Z;0
247;2025-04-30T20:00:00.000Z;2025-04-30T20:15:00.000Z;0
247;2025-04-30T19:45:00.000Z;2025-04-30T20:00:00.000Z;0
247;2025-04-30T19:30:00.000Z;2025-04-30T19:45:00.000Z;0
247;2025-04-30T19:15:00.000Z;2025-04-30T19:30:00.000Z;0
247;2025-04-30T19:00:00.000Z;2025-04-30T19:15:00.000Z;0
247;2025-04-30T18:45:00.000Z;2025-04-30T19:00:00.000Z;0
247;2025-04-30T18:30:00.000Z;2025-04-30T18:45:00.000Z;0
247;2025-04-30T18:15:00.000Z;2025-04-30T18:30:00.000Z;0
247;2025-04-30T18:00:00.000Z;2025-04-30T18:15:00.000Z;0
247;2025-04-30T17:45:00.000Z;2025-04-30T18:00:00.000Z;20
247;2025-04-30T17:30:00.000Z;2025-04-30T17:45:00.000Z;36.9
247;2025-04-30T17:15:00.000Z;2025-04-30T17:30:00.000Z;53.8
247;2025-04-30T17:00:00.000Z;2025-04-30T17:15:00.000Z;70.7
247;2025-04-30T16:45:00.000Z;2025-04-30T17:00:00.000Z;103.1
247;2025-04-30T16:30:00.000Z;2025-04-30T16:45:00.000Z;124.5
247;2025-04-30T16:15:00.000Z;2025-04-30T16:30:00.000Z;145.9
247;2025-04-30T16:00:00.000Z;2025-04-30T16:15:00.000Z;167.3
247;2025-04-30T15:45:00.000Z;2025-04-30T16:00:00.000Z;186.9
247;2025-04-30T15:30:00.000Z;2025-04-30T15:45:00.000Z;206.8
247;2025-04-30T15:15:00.000Z;2025-04-30T15:30:00.000Z;226.7
247;2025-04-30T15:00:00.000Z;2025-04-30T15:15:00.000Z;246.5
247;2025-04-30T14:45:00.000Z;2025-04-30T15:00:00.000Z;266.1
247;2025-04-30T14:30:00.000Z;2025-04-30T14:45:00.000Z;284.8
247;2025-04-30T14:15:00.000Z;2025-04-30T14:30:00.000Z;303.4
247;2025-04-30T14:00:00.000Z;2025-04-30T14:15:00.000Z;322.1
247;2025-04-30T13:45:00.000Z;2025-04-30T14:00:00.000Z;341.4
247;2025-04-30T13:30:00.000Z;2025-04-30T13:45:00.000Z;357.8
247;2025-04-30T13:15:00.000Z;2025-04-30T13:30:00.000Z;374.1
247;2025-04-30T13:00:00.000Z;2025-04-30T13:15:00.000Z;390.4
247;2025-04-30T12:45:00.000Z;2025-04-30T13:00:00.000Z;405.4
247;2025-04-30T12:30:00.000Z;2025-04-30T12:45:00.000Z;418.3
247;2025-04-30T12:15:00.000Z;2025-04-30T12:30:00.000Z;431.2
247;2025-04-30T12:00:00.000Z;2025-04-30T12:15:00.000Z;444.1
247;2025-04-30T11:45:00.000Z;2025-04-30T12:00:00.000Z;468.8
247;2025-04-30T11:30:00.000Z;2025-04-30T11:45:00.000Z;469.1
247;2025-04-30T11:15:00.000Z;2025-04-30T11:30:00.000Z;469.2
247;2025-04-30T11:00:00.000Z;2025-04-30T11:15:00.000Z;469.4
247;2025-04-30T10:45:00.000Z;2025-04-30T11:00:00.000Z;469.4
247;2025-04-30T10:30:00.000Z;2025-04-30T10:45:00.000Z;469.6
247;2025-04-30T10:15:00.000Z;2025-04-30T10:30:00.000Z;469.6
247;2025-04-30T10:00:00.000Z;2025-04-30T10:15:00.000Z;469.4
247;2025-04-30T09:45:00.000Z;2025-04-30T10:00:00.000Z;467.4
247;2025-04-30T09:30:00.000Z;2025-04-30T09:45:00.000Z;463
247;2025-04-30T09:15:00.000Z;2025-04-30T09:30:00.000Z;458.6
247;2025-04-30T09:00:00.000Z;2025-04-30T09:15:00.000Z;454.1
247;2025-04-30T08:45:00.000Z;2025-04-30T09:00:00.000Z;445.5
247;2025-04-30T08:30:00.000Z;2025-04-30T08:45:00.000Z;437.8
247;2025-04-30T08:15:00.000Z;2025-04-30T08:30:00.000Z;430.1
247;2025-04-30T08:00:00.000Z;2025-04-30T08:15:00.000Z;422.4
247;2025-04-30T07:45:00.000Z;2025-04-30T08:00:00.000Z;420.3
247;2025-04-30T07:30:00.000Z;2025-04-30T07:45:00.000Z;406.2
247;2025-04-30T07:15:00.000Z;2025-04-30T07:30:00.000Z;392
247;2025-04-30T07:00:00.000Z;2025-04-30T07:15:00.000Z;377.9
247;2025-04-30T06:45:00.000Z;2025-04-30T07:00:00.000Z;349.1
247;2025-04-30T06:30:00.000Z;2025-04-30T06:45:00.000Z;330.2
247;2025-04-30T06:15:00.000Z;2025-04-30T06:30:00.000Z;311.4
247;2025-04-30T06:00:00.000Z;2025-04-30T06:15:00.000Z;292.5
247;2025-04-30T05:45:00.000Z;2025-04-30T06:00:00.000Z;279.1
247;2025-04-30T05:30:00.000Z;2025-04-30T05:45:00.000Z;258.6
247;2025-04-30T05:15:00.000Z;2025-04-30T05:30:00.000Z;238.1
247;2025-04-30T05:00:00.000Z;2025-04-30T05:15:00.000Z;217.6
247;2025-04-30T04:45:00.000Z;2025-04-30T05:00:00.000Z;190.4
